EPC,Antenna,Channel,TimeStamp/us,RSSI/dBm,Phase/rad,Doppler Shift/Hz,Velocity
000000000000000000008001,1,1,0,-48,5.36893275759974,78,0
000000000000000000008002,1,1,1121,-51.5,5.76776776245001,156,0
000000000000000000008001,1,1,12837,-48,5.36893275759974,52,0
000000000000000000008002,1,1,13943,-51.5,5.76163183929847,156,0
000000000000000000008002,1,1,27276,-51.5,5.74935999299538,52,0
000000000000000000008001,1,1,28481,-48,5.36893275759974,52,0
000000000000000000008001,1,1,38533,-47.5,5.3627968344482,26,0
000000000000000000008002,1,1,40224,-51.5,5.7800396087531,221,0
000000000000000000008002,1,1,56843,-51.5,5.74322406984384,0,0
000000000000000000008001,1,1,57953,-48,5.35666091129666,52,0
000000000000000000008001,1,1,69111,-48,5.36893275759974,52,0
000000000000000000008002,1,1,70174,-51.5,5.76776776245001,52,0
000000000000000000008001,1,1,85707,-48,5.36893275759974,78,0
000000000000000000008002,1,1,86941,-51.5,5.76776776245001,182,0
000000000000000000008001,1,1,94289,-48,5.35666091129666,52,0
000000000000000000008002,1,1,97348,-51.5,5.76776776245001,247,0
000000000000000000008001,1,1,110768,-48,5.36893275759974,52,0
000000000000000000008002,1,1,115151,-51.5,5.7800396087531,182,0
000000000000000000008002,1,1,124142,-51.5,5.72481630038921,-26,0
000000000000000000008001,1,1,125391,-47.5,5.36893275759974,26,0
000000000000000000008001,1,1,141185,-47.5,5.38734052705437,247,0
000000000000000000008002,1,1,142545,-51.5,5.75549591614693,52,0
000000000000000000008002,1,1,152330,-51.5,5.73095222354076,26,0
000000000000000000008001,1,1,153979,-48,5.37506868075129,78,0
000000000000000000008001,1,1,169880,-48,5.36893275759974,0,0
000000000000000000008002,1,1,170960,-51.5,5.72481630038921,-26,0
000000000000000000008001,1,1,181030,-48,5.37506868075129,26,0
000000000000000000008002,1,1,182523,-51.5,5.74935999299538,130,0
000000000000000000008002,1,1,195206,-51.5,5.77390368560155,156,0
000000000000000000008001,1,1,199189,-48,5.38734052705437,78,0
000000000000000000008001,1,1,208278,-48,5.35052498814512,-26,0
000000000000000000008002,1,1,210254,-51.5,5.74322406984384,130,0
000000000000000000008001,1,1,225245,-48,5.36893275759974,104,0
000000000000000000008002,1,1,226935,-51.5,5.7370881466923,52,0
000000000000000000008002,1,1,234318,-51.5,5.77390368560155,182,0
000000000000000000008001,1,1,238813,-47.5,5.3627968344482,26,0
000000000000000000008001,1,1,252654,-48,5.38120460390283,130,0
000000000000000000008002,1,1,256324,-51.5,5.74935999299538,182,0
000000000000000000008002,1,1,262422,-51.5,5.74322406984384,52,0
